"v","r","w"
"{""id"":1493,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G2:REMOTE I/O:11"",""location"":""K1.G1"",""terminal"":""REMOTE I/O:11"",""id"":""K1.G1-G2:REMOTE I/O:11"",""type"":""panel"",""device"":""G2""}}","{""id"":4508,""type"":""conn"",""start"":1493,""end"":1492,""properties"":{""wire_number"":""1092"",""color"":""BU""}}","{""id"":1492,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X1:11"",""location"":""K1.B1"",""terminal"":""X1:11"",""id"":""K1.B1-A22:X1:11"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":1492,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X1:11"",""location"":""K1.B1"",""terminal"":""X1:11"",""id"":""K1.B1-A22:X1:11"",""type"":""PLC"",""device"":""A22""}}","{""id"":4507,""type"":""conn"",""start"":1492,""end"":1493,""properties"":{""wire_number"":""1092"",""color"":""BU""}}","{""id"":1493,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G2:REMOTE I/O:11"",""location"":""K1.G1"",""terminal"":""REMOTE I/O:11"",""id"":""K1.G1-G2:REMOTE I/O:11"",""type"":""panel"",""device"":""G2""}}"
"{""id"":1322,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A3:3"",""location"":""K1.B1"",""terminal"":""3"",""id"":""K1.B1-A3:3"",""type"":""PLC"",""device"":""A3""}}","{""id"":4509,""type"":""conn"",""start"":1322,""end"":1494,""properties"":{""wire_number"":""1096"",""color"":""WH"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1494,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:6"",""location"":""K1.B1"",""terminal"":""X2:6"",""id"":""K1.B1-A22:X2:6"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":681,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A3:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-A3:4"",""type"":""PLC"",""device"":""A3""}}","{""id"":4511,""type"":""conn"",""start"":681,""end"":1495,""properties"":{""wire_number"":""1097"",""color"":""BN"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1495,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:7"",""location"":""K1.B1"",""terminal"":""X2:7"",""id"":""K1.B1-A22:X2:7"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":1173,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:3"",""location"":""K1.B1"",""terminal"":""3"",""id"":""K1.B1-A4:3"",""type"":""PLC"",""device"":""A4""}}","{""id"":4513,""type"":""conn"",""start"":1173,""end"":1496,""properties"":{""wire_number"":""1098"",""color"":""GN"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1496,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:18"",""location"":""K1.B1"",""terminal"":""X2:18"",""id"":""K1.B1-A22:X2:18"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":1197,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-A4:4"",""type"":""PLC"",""device"":""A4""}}","{""id"":4515,""type"":""conn"",""start"":1197,""end"":1497,""properties"":{""wire_number"":""1099"",""color"":""YE"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1497,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:19"",""location"":""K1.B1"",""terminal"":""X2:19"",""id"":""K1.B1-A22:X2:19"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":699,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A3:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-A3:7"",""type"":""PLC"",""device"":""A3""}}","{""id"":4517,""type"":""conn"",""start"":699,""end"":1498,""properties"":{""wire_number"":""1100"",""color"":""GY"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1498,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:5"",""location"":""K1.B1"",""terminal"":""X2:5"",""id"":""K1.B1-A22:X2:5"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":752,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A3:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-A3:8"",""type"":""PLC"",""device"":""A3""}}","{""id"":4520,""type"":""conn"",""start"":752,""end"":1499,""properties"":{""wire_number"":""1101"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1499,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:4"",""location"":""K1.B1"",""terminal"":""X2:4"",""id"":""K1.B1-A22:X2:4"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":1501,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-A4:7"",""type"":""PLC"",""device"":""A4""}}","{""id"":4522,""type"":""conn"",""start"":1501,""end"":1500,""properties"":{""wire_number"":""1102"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1500,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:17"",""location"":""K1.B1"",""terminal"":""X2:17"",""id"":""K1.B1-A22:X2:17"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":6508,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.5F:2"",""location"":""K1.B1"",""terminal"":""2"",""id"":""K1.B1-X22-X22.5F:2"",""type"":""panel"",""device"":""X22-X22.5F""}}","{""id"":5338,""type"":""conn"",""start"":6508,""end"":1501,""properties"":{""wire_number"":""1827"",""color"":""BU""}}","{""id"":1501,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-A4:7"",""type"":""PLC"",""device"":""A4""}}"
"{""id"":1500,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:17"",""location"":""K1.B1"",""terminal"":""X2:17"",""id"":""K1.B1-A22:X2:17"",""type"":""PLC"",""device"":""A22""}}","{""id"":4521,""type"":""conn"",""start"":1500,""end"":1501,""properties"":{""wire_number"":""1102"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1501,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:7"",""location"":""K1.B1"",""terminal"":""7"",""id"":""K1.B1-A4:7"",""type"":""PLC"",""device"":""A4""}}"
"{""id"":1503,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-A4:8"",""type"":""PLC"",""device"":""A4""}}","{""id"":4524,""type"":""conn"",""start"":1503,""end"":1502,""properties"":{""wire_number"":""1103"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1502,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:16"",""location"":""K1.B1"",""terminal"":""X2:16"",""id"":""K1.B1-A22:X2:16"",""type"":""PLC"",""device"":""A22""}}"
"{""id"":6511,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.B1-X22-X22.5F:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-X22-X22.5F:4"",""type"":""panel"",""device"":""X22-X22.5F""}}","{""id"":5342,""type"":""conn"",""start"":6511,""end"":1503,""properties"":{""wire_number"":""1831"",""color"":""BU""}}","{""id"":1503,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-A4:8"",""type"":""PLC"",""device"":""A4""}}"
"{""id"":1502,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A22:X2:16"",""location"":""K1.B1"",""terminal"":""X2:16"",""id"":""K1.B1-A22:X2:16"",""type"":""PLC"",""device"":""A22""}}","{""id"":4523,""type"":""conn"",""start"":1502,""end"":1503,""properties"":{""wire_number"":""1103"",""color"":""BU"",""cable_type"":""UNITRONIC? LiYCY (TP) 8x0,5 mm?""}}","{""id"":1503,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A4:8"",""location"":""K1.B1"",""terminal"":""8"",""id"":""K1.B1-A4:8"",""type"":""PLC"",""device"":""A4""}}"
"{""id"":1505,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:X2.L"",""location"":""K1.G1"",""terminal"":""X2.L"",""id"":""K1.G1-G3:X2.L"",""type"":""panel"",""device"":""G3""}}","{""id"":4526,""type"":""conn"",""start"":1505,""end"":1504,""properties"":{""wire_number"":""1104"",""color"":""1"",""length"":""4 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x2,5 mm?""}}","{""id"":1504,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:5:4"",""location"":""K1.B1"",""terminal"":""5:4"",""id"":""K1.B1-X20:5:4"",""type"":""panel"",""device"":""X20""}}"
"{""id"":1504,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:5:4"",""location"":""K1.B1"",""terminal"":""5:4"",""id"":""K1.B1-X20:5:4"",""type"":""panel"",""device"":""X20""}}","{""id"":4525,""type"":""conn"",""start"":1504,""end"":1505,""properties"":{""wire_number"":""1104"",""color"":""1"",""length"":""4 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x2,5 mm?""}}","{""id"":1505,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:X2.L"",""location"":""K1.G1"",""terminal"":""X2.L"",""id"":""K1.G1-G3:X2.L"",""type"":""panel"",""device"":""G3""}}"
"{""id"":1507,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:5:3"",""location"":""K1.B1"",""terminal"":""5:3"",""id"":""K1.B1-X20:5:3"",""type"":""panel"",""device"":""X20""}}","{""id"":4528,""type"":""conn"",""start"":1507,""end"":1506,""properties"":{""wire_number"":""1105"",""color"":""BK""}}","{""id"":1506,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:2"",""location"":""K1.H2"",""terminal"":""2"",""id"":""K1.H2-F13:2"",""type"":""panel"",""device"":""F13""}}"
"{""id"":1506,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:2"",""location"":""K1.H2"",""terminal"":""2"",""id"":""K1.H2-F13:2"",""type"":""panel"",""device"":""F13""}}","{""id"":4527,""type"":""conn"",""start"":1506,""end"":1507,""properties"":{""wire_number"":""1105"",""color"":""BK""}}","{""id"":1507,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:5:3"",""location"":""K1.B1"",""terminal"":""5:3"",""id"":""K1.B1-X20:5:3"",""type"":""panel"",""device"":""X20""}}"
"{""id"":587,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-W2.1:2L3"",""location"":""K1.H2"",""terminal"":""2L3"",""id"":""K1.H2-W2.1:2L3"",""type"":""panel"",""device"":""W2.1""}}","{""id"":4529,""type"":""conn"",""start"":587,""end"":1508,""properties"":{""wire_number"":""1106"",""color"":""direkt verbunden""}}","{""id"":1508,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:1"",""location"":""K1.H2"",""terminal"":""1"",""id"":""K1.H2-F13:1"",""type"":""panel"",""device"":""F13""}}"
"{""id"":1510,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:X2.N"",""location"":""K1.G1"",""terminal"":""X2.N"",""id"":""K1.G1-G3:X2.N"",""type"":""panel"",""device"":""G3""}}","{""id"":4532,""type"":""conn"",""start"":1510,""end"":1509,""properties"":{""wire_number"":""1107"",""color"":""2"",""length"":""4 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x2,5 mm?""}}","{""id"":1509,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:6:5"",""location"":""K1.B1"",""terminal"":""6:5"",""id"":""K1.B1-X20:6:5"",""type"":""panel"",""device"":""X20""}}"
"{""id"":1509,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:6:5"",""location"":""K1.B1"",""terminal"":""6:5"",""id"":""K1.B1-X20:6:5"",""type"":""panel"",""device"":""X20""}}","{""id"":4531,""type"":""conn"",""start"":1509,""end"":1510,""properties"":{""wire_number"":""1107"",""color"":""2"",""length"":""4 m"",""cable_type"":""?LFLEX? CLASSIC 110 3x2,5 mm?""}}","{""id"":1510,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:X2.N"",""location"":""K1.G1"",""terminal"":""X2.N"",""id"":""K1.G1-G3:X2.N"",""type"":""panel"",""device"":""G3""}}"
"{""id"":638,""labels"":[""Vertex""],""properties"":{""function"":""A02"",""name"":""=A02+K1.H2-X5:N:2"",""location"":""K1.H2"",""terminal"":""N:2"",""id"":""K1.H2-X5:N:2"",""type"":""panel"",""device"":""X5""}}","{""id"":4533,""type"":""conn"",""start"":638,""end"":1511,""properties"":{""wire_number"":""1108"",""color"":""BU""}}","{""id"":1511,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-X20:6:2"",""location"":""K1.B1"",""terminal"":""6:2"",""id"":""K1.B1-X20:6:2"",""type"":""panel"",""device"":""X20""}}"
"{""id"":855,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-A2:5"",""location"":""K1.B1"",""terminal"":""5"",""id"":""K1.B1-A2:5"",""type"":""PLC"",""device"":""A2""}}","{""id"":4536,""type"":""conn"",""start"":855,""end"":1512,""properties"":{""wire_number"":""1111"",""color"":""BU""}}","{""id"":1512,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.H2-F13:14"",""location"":""K1.H2"",""terminal"":""14"",""id"":""K1.H2-F13:14"",""type"":""panel"",""device"":""F13""}}"
"{""id"":534,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P2):P2:1"",""location"":""K1.B1"",""terminal"":""P2:1"",""id"":""K1.B1-W5(-P2):P2:1"",""type"":""panel"",""device"":""W5(-P2)""}}","{""id"":4539,""type"":""conn"",""start"":534,""end"":1513,""properties"":{""wire_number"":""1113"",""color"":""BU""}}","{""id"":1513,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:A2"",""location"":""K1.B1"",""terminal"":""A2"",""id"":""K1.B1-K23:A2"",""type"":""panel"",""device"":""K23""}}"
"{""id"":674,""labels"":[""Vertex""],""properties"":{""function"":""S02"",""name"":""=S02+K1.B1-A1:4"",""location"":""K1.B1"",""terminal"":""4"",""id"":""K1.B1-A1:4"",""type"":""PLC"",""device"":""A1""}}","{""id"":4542,""type"":""conn"",""start"":674,""end"":1514,""properties"":{""wire_number"":""1114"",""color"":""BU""}}","{""id"":1514,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:A1"",""location"":""K1.B1"",""terminal"":""A1"",""id"":""K1.B1-K23:A1"",""type"":""panel"",""device"":""K23""}}"
"{""id"":553,""labels"":[""Vertex""],""properties"":{""function"":""V01"",""name"":""=V01+K1.B1-W5(-P1):P1:1"",""location"":""K1.B1"",""terminal"":""P1:1"",""id"":""K1.B1-W5(-P1):P1:1"",""type"":""panel"",""device"":""W5(-P1)""}}","{""id"":4543,""type"":""conn"",""start"":553,""end"":1515,""properties"":{""wire_number"":""1115"",""color"":""BU""}}","{""id"":1515,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:12"",""location"":""K1.B1"",""terminal"":""12"",""id"":""K1.B1-K23:12"",""type"":""panel"",""device"":""K23""}}"
"{""id"":1517,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:8"",""location"":""K1.G1"",""terminal"":""8"",""id"":""K1.G1-G3:8"",""type"":""panel"",""device"":""G3""}}","{""id"":4546,""type"":""conn"",""start"":1517,""end"":1516,""properties"":{""wire_number"":""1116"",""color"":""BK"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1516,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:8"",""location"":""K1.B1"",""terminal"":""X1:8"",""id"":""K1.B1-A23:X1:8"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1516,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:8"",""location"":""K1.B1"",""terminal"":""X1:8"",""id"":""K1.B1-A23:X1:8"",""type"":""PLC"",""device"":""A23""}}","{""id"":4545,""type"":""conn"",""start"":1516,""end"":1517,""properties"":{""wire_number"":""1116"",""color"":""BK"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1517,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:8"",""location"":""K1.G1"",""terminal"":""8"",""id"":""K1.G1-G3:8"",""type"":""panel"",""device"":""G3""}}"
"{""id"":1519,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:11"",""location"":""K1.B1"",""terminal"":""11"",""id"":""K1.B1-K23:11"",""type"":""panel"",""device"":""K23""}}","{""id"":4548,""type"":""conn"",""start"":1519,""end"":1518,""properties"":{""wire_number"":""1117"",""color"":""BU""}}","{""id"":1518,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X2:8"",""location"":""K1.B1"",""terminal"":""X2:8"",""id"":""K1.B1-A23:X2:8"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1518,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X2:8"",""location"":""K1.B1"",""terminal"":""X2:8"",""id"":""K1.B1-A23:X2:8"",""type"":""PLC"",""device"":""A23""}}","{""id"":4547,""type"":""conn"",""start"":1518,""end"":1519,""properties"":{""wire_number"":""1117"",""color"":""BU""}}","{""id"":1519,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K23:11"",""location"":""K1.B1"",""terminal"":""11"",""id"":""K1.B1-K23:11"",""type"":""panel"",""device"":""K23""}}"
"{""id"":1521,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:14"",""location"":""K1.G1"",""terminal"":""14"",""id"":""K1.G1-G3:14"",""type"":""panel"",""device"":""G3""}}","{""id"":4550,""type"":""conn"",""start"":1521,""end"":1520,""properties"":{""wire_number"":""1118"",""color"":""VT"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1520,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:14"",""location"":""K1.B1"",""terminal"":""X1:14"",""id"":""K1.B1-A23:X1:14"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1520,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:14"",""location"":""K1.B1"",""terminal"":""X1:14"",""id"":""K1.B1-A23:X1:14"",""type"":""PLC"",""device"":""A23""}}","{""id"":4549,""type"":""conn"",""start"":1520,""end"":1521,""properties"":{""wire_number"":""1118"",""color"":""VT"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1521,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:14"",""location"":""K1.G1"",""terminal"":""14"",""id"":""K1.G1-G3:14"",""type"":""panel"",""device"":""G3""}}"
"{""id"":457,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:11"",""location"":""K1.B1"",""terminal"":""11"",""id"":""K1.B1-K3:11"",""type"":""panel"",""device"":""K3""}}","{""id"":4551,""type"":""conn"",""start"":457,""end"":1522,""properties"":{""wire_number"":""1119"",""color"":""BU""}}","{""id"":1522,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X2:14"",""location"":""K1.B1"",""terminal"":""X2:14"",""id"":""K1.B1-A23:X2:14"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":425,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-K3:14"",""location"":""K1.B1"",""terminal"":""14"",""id"":""K1.B1-K3:14"",""type"":""panel"",""device"":""K3""}}","{""id"":4553,""type"":""conn"",""start"":425,""end"":1523,""properties"":{""wire_number"":""1120"",""color"":""BU""}}","{""id"":1523,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X2:13"",""location"":""K1.B1"",""terminal"":""X2:13"",""id"":""K1.B1-A23:X2:13"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1525,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:13"",""location"":""K1.G1"",""terminal"":""13"",""id"":""K1.G1-G3:13"",""type"":""panel"",""device"":""G3""}}","{""id"":4560,""type"":""conn"",""start"":1525,""end"":1524,""properties"":{""wire_number"":""1123"",""color"":""GYPK"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1524,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:13"",""location"":""K1.B1"",""terminal"":""X1:13"",""id"":""K1.B1-A23:X1:13"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1524,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:13"",""location"":""K1.B1"",""terminal"":""X1:13"",""id"":""K1.B1-A23:X1:13"",""type"":""PLC"",""device"":""A23""}}","{""id"":4559,""type"":""conn"",""start"":1524,""end"":1525,""properties"":{""wire_number"":""1123"",""color"":""GYPK"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1525,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:13"",""location"":""K1.G1"",""terminal"":""13"",""id"":""K1.G1-G3:13"",""type"":""panel"",""device"":""G3""}}"
"{""id"":1527,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:6"",""location"":""K1.G1"",""terminal"":""6"",""id"":""K1.G1-G3:6"",""type"":""panel"",""device"":""G3""}}","{""id"":4562,""type"":""conn"",""start"":1527,""end"":1526,""properties"":{""wire_number"":""1125"",""color"":""WH"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1526,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:6"",""location"":""K1.B1"",""terminal"":""X1:6"",""id"":""K1.B1-A23:X1:6"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1526,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:6"",""location"":""K1.B1"",""terminal"":""X1:6"",""id"":""K1.B1-A23:X1:6"",""type"":""PLC"",""device"":""A23""}}","{""id"":4561,""type"":""conn"",""start"":1526,""end"":1527,""properties"":{""wire_number"":""1125"",""color"":""WH"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1527,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:6"",""location"":""K1.G1"",""terminal"":""6"",""id"":""K1.G1-G3:6"",""type"":""panel"",""device"":""G3""}}"
"{""id"":1529,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:7"",""location"":""K1.G1"",""terminal"":""7"",""id"":""K1.G1-G3:7"",""type"":""panel"",""device"":""G3""}}","{""id"":4564,""type"":""conn"",""start"":1529,""end"":1528,""properties"":{""wire_number"":""1126"",""color"":""BN"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1528,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:7"",""location"":""K1.B1"",""terminal"":""X1:7"",""id"":""K1.B1-A23:X1:7"",""type"":""PLC"",""device"":""A23""}}"
"{""id"":1528,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:7"",""location"":""K1.B1"",""terminal"":""X1:7"",""id"":""K1.B1-A23:X1:7"",""type"":""PLC"",""device"":""A23""}}","{""id"":4563,""type"":""conn"",""start"":1528,""end"":1529,""properties"":{""wire_number"":""1126"",""color"":""BN"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1529,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:7"",""location"":""K1.G1"",""terminal"":""7"",""id"":""K1.G1-G3:7"",""type"":""panel"",""device"":""G3""}}"
"{""id"":1531,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.G1-G3:18"",""location"":""K1.G1"",""terminal"":""18"",""id"":""K1.G1-G3:18"",""type"":""panel"",""device"":""G3""}}","{""id"":4566,""type"":""conn"",""start"":1531,""end"":1530,""properties"":{""wire_number"":""1127"",""color"":""GN"",""length"":""3 m"",""cable_type"":""CABLE-D25SUB/B/S/300/KONFEK/S 25x0,25""}}","{""id"":1530,""labels"":[""Vertex""],""properties"":{""function"":""Q15"",""name"":""=Q15+K1.B1-A23:X1:18"",""location"":""K1.B1"",""terminal"":""X1:18"",""id"":""K1.B1-A23:X1:18"",""type"":""PLC"",""device"":""A23""}}"
